bus_id,grid_cell
way/86494356-400,
way/39428977-400,POL_5
way/86494356-400,POL_5
way/86494356-400,POL_5
way/303870256-400,POL_56
way/86494356-400,POL_56
way/86494356-400,POL_56
way/39428977-400,POL_56
way/86494356-400,POL_56
way/303870256-400,POL_116
PL17-400,POL_140
way/39428977-400,POL_12
way/29115701-220,POL_67
way/86494356-400,POL_70
way/293484891-220,POL_115
way/293484891-220,POL_79
way/293484891-220,POL_55
way/29115701-220,POL_114
way/111615226-220,POL_102
way/111615226-220,POL_32
way/29115701-220,POL_32
PL17-400,POL_114
way/29115701-220,POL_126
way/29115701-220,POL_114
way/29115701-220,POL_126
way/39428977-400,POL_70
way/111615226-220,POL_11
way/29115701-220,POL_114
way/29115701-220,POL_100
way/29115701-220,POL_100
way/111615226-220,POL_30
way/293484891-220,POL_76
PL75-220,POL_41
way/191035265-220,POL_100
way/111615226-220,POL_29
way/191035265-220,POL_99
way/39428977-400,POL_6
way/111615226-220,POL_0
way/111615226-220,POL_0
way/293484891-220,POL_63
way/293484891-220,POL_75
way/293484891-220,POL_75
way/293484891-220,POL_75
way/293484891-220,POL_75
way/111615226-220,POL_29
way/133537926-220,POL_74
way/133537926-220,POL_110
way/191035265-220,POL_98
way/86494356-400,POL_6
way/191035265-220,POL_74
way/133537926-220,POL_74
way/133537926-220,POL_74
way/191035265-220,POL_74
way/133537926-220,POL_74
way/133537926-220,POL_74
way/133537926-220,POL_62
way/133537926-220,POL_74
way/133537926-220,POL_74
way/133537926-220,POL_62
PL75-220,POL_62
way/133537926-220,POL_62
way/86494356-400,POL_69
PL17-400,POL_97
way/133537926-220,POL_97
way/191035265-220,POL_121
way/86494356-400,POL_69
LT1-400,POL_6
way/255314292,POL_37
way/133537926-220,POL_74
way/29115701-220,POL_94
way/29115701-220,POL_94
way/29115701-220,POL_106
way/293484891-220,POL_77
way/293484891-220,POL_77
way/29115701-220,POL_115
way/29115701-220,POL_115
way/111615226-220,POL_9
way/111615226-220,POL_9
way/111615226-220,POL_9
way/86494356-400,POL_71
way/86494356-400,wof-POL_25
way/133537926-220,POL_85
way/303870256-400,POL_116
way/303870256-400,POL_116
way/86494356-400,POL_59
way/86494356-400,POL_59
way/255314292,POL_32
way/133537926-220,POL_74
way/133537926-220,POL_74
way/133537926-220,POL_73
PL75-220,POL_62
PL75-220,POL_62
way/86494356-400,POL_68
way/29115701-220,POL_79
way/29115701-220,POL_90
PL17-400,POL_136
way/111615226-220,POL_31
way/133537926-220,POL_74
way/111615226-220,POL_29
way/111615226-220,POL_19
way/293484891-220,POL_76
way/111615226-220,POL_11
way/39428977-400,POL_6
way/191035265-220,POL_97
way/191035265-220,POL_109
PL17-400,POL_136
